Star,RAh,RAm,RAs,DE-,DEd,DEm,DEs,Vmag,U-B,B-V,V-R,R-I,e_Vmag,e_U-B,e_B-V,e_V-R,e_R-I,Nobs,GBP,G,GRP
[CS62] E8 18,20,4,24.2,-,45,2,0,9.314,-0.043,0.443,0.272,0.279,0.003,0.008,0.004,0.002,0.002,8,-99.9,-99.9,-99.9
[CS62] E8 39,20,8,29.2,-,44,39,6,9.511,1.007,1.121,0.566,0.518,0.004,0.009,0.004,0.002,0.004,8,9.795585632324219,9.211277961730957,8.52929973602295
[CS62] E8 47,20,5,18.1,-,44,43,37,10.625,0.079,0.508,0.295,0.284,0.004,0.01,0.005,0.003,0.003,10,10.778006553649902,10.503824234008789,10.097661972045898
[CS62] E8 48,20,4,22.7,-,44,58,39,10.708,0.545,0.919,0.489,0.46,0.006,0.011,0.008,0.009,0.005,8,10.950380325317383,10.464839935302734,9.846940040588379
[CS62] E8 a,20,7,36.6,-,44,43,48,12.098,0.1,0.603,0.351,0.337,0.008,0.003,0.002,0.006,0.001,4,12.283616065979004,11.97374439239502,11.497247695922852
[CS62] E8 h,20,7,32.7,-,44,41,28,13.308,-0.001,0.591,0.349,0.349,0.008,0.002,0.005,0.002,0.011,5,13.490315437316895,13.169331550598145,12.685955047607422
[CS62] E8 n,20,7,21.3,-,44,40,12,14.459,0.045,0.59,0.341,0.328,0.004,0.014,0.006,0.007,0.009,5,14.639297485351562,14.3253755569458,13.856096267700195
[CS62] E8 p,20,7,4.8,-,44,42,26,14.716,0.406,0.764,0.43,0.368,0.007,0.004,0.011,0.009,0.018,4,14.923322677612305,14.5270357131958,13.984561920166016
[CS62] E8 u,20,7,39.1,-,44,42,45,15.909,-0.002,0.6,0.332,0.355,0.014,0.022,0.009,0.016,0.012,4,16.09494972229004,15.77283763885498,15.287020683288574
[CS62] E9 27,22,43,31.9,-,44,33,59,9.489,1.154,1.229,0.641,0.594,0.004,0.014,0.014,0.006,0.007,6,9.76887035369873,9.108248710632324,8.364110946655273
[CS62] E9 38,22,48,6.5,-,44,15,22,9.526,1.597,1.386,0.737,0.689,0.009,0.025,0.009,0.006,0.009,6,9.80746841430664,9.034331321716309,8.20707893371582
[CS62] E9 28,22,44,36.5,-,44,36,39,10.372,0.79,1.033,0.542,0.502,0.007,0.016,0.005,0.005,0.006,4,10.637311935424805,10.08813762664795,9.428388595581055
[CS62] E9 47,22,45,6.2,-,44,38,49,10.685,0.047,0.591,0.328,0.337,0.008,0.01,0.006,0.005,0.007,8,10.86067008972168,10.546371459960938,10.093788146972656
[CS62] E9 g,22,45,32.9,-,44,17,36,12.698,0.68,0.894,0.509,0.424,0.011,0.024,0.016,0.016,0.007,3,12.945878982543945,12.462971687316895,11.846728324890137
[CS62] E9 k,22,45,44.5,-,44,30,21,13.959,-0.067,0.539,0.308,0.321,0.013,0.007,0.007,0.015,0.007,3,14.12655258178711,13.83154582977295,13.378500938415527
[CS62] E9 n,22,45,30.9,-,44,29,43,14.713,-0.066,0.563,0.34,0.343,0.006,0.01,0.003,0.008,0.011,5,14.885649681091309,14.588894844055176,14.124112129211426
[CS62] E9 q,22,45,25.7,-,44,27,47,15.201,0.193,0.691,0.376,0.351,0.005,0.005,0.004,0.007,0.012,4,nan,19.716773986816406,nan
[CS62] E9 s,22,45,42.2,-,44,24,41,15.573,-0.089,0.523,0.342,0.364,0.015,0.024,0.012,0.015,0.006,3,15.721292495727539,15.43560791015625,14.974454879760742
