# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Tue Apr 13 07:44:16 CEST 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 7.30103 0.7000000477 2.3779268265    0.700 -0.886  3.5630  4.373    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.29e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.984 11.219 9.867 8.496 7.490 6.379 5.266 4.569 4.360
0.0152 0.01508 7.30103 0.7500000000 2.3998889923    0.750 -0.710  3.6254  4.476    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.66e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.544 10.124 8.665 7.401 6.550 5.848 4.981 4.282 4.159
0.0152 0.01508 7.30103 0.7882728577 2.4145529270    0.788 -0.657  3.6318  4.471    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.83e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.412 9.898 8.445 7.208 6.377 5.712 4.865 4.173 4.059
0.0152 0.01508 7.30103 0.8000000119 2.4187245369    0.800 -0.638  3.6340  4.467    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -1.9e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.365 9.812 8.368 7.141 6.317 5.665 4.825 4.135 4.025
0.0152 0.01508 7.30103 0.8214102983 2.4259884357    0.821 -0.605  3.6386  4.464    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.282 9.648 8.222 7.016 6.206 5.580 4.755 4.070 3.966
0.0152 0.01508 7.30103 0.8500000238 2.4350347519    0.850 -0.549  3.6464  4.454    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.28e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.144 9.344 7.977 6.806 6.023 5.435 4.638 3.971 3.874
0.0152 0.01508 7.30103 0.8624690175 2.4387650490    0.862 -0.525  3.6501  4.451    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.41e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 6.082 9.201 7.864 6.711 5.940 5.371 4.587 3.930 3.836
0.0152 0.01508 7.30103 0.9000000358 2.4492788315    0.899 -0.445  3.6627  4.440    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.883 8.691 7.495 6.405 5.684 5.161 4.425 3.810 3.724
0.0152 0.01508 7.30103 0.9410812855 2.4596886635    0.941 -0.346  3.6792  4.427    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.56e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.636 8.054 7.044 6.035 5.381 4.904 4.228 3.670 3.592
0.0152 0.01508 7.30103 0.9500000477 2.4618122578    0.950 -0.324  3.6831  4.423    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -3.75e-14      0.00 7.092e-01 2.755e-01 2.709e-03 7.398e-04 6.720e-03 -1.000 1.527e-02 5.579 7.914 6.944 5.953 5.314 4.846 4.183 3.637 3.561
